사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-05,2호선,0214,강변(동서울터미널),37,1,"10,613","4,674","34,325","36,772","106,432","42,194","154,980","68,325","118,116","63,130","93,645","55,526","85,154","55,476","83,024","61,854","80,960","73,297","75,348","79,234","74,066","91,410","80,064","104,216","89,478","118,065","102,978","161,614","84,041","128,457","68,146","90,639","65,642","81,876","42,999","75,910","18,086","41,088","2,441","11,549",1,80,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0215,잠실나루,12,1,"3,593","1,862","14,272","11,408","48,591","25,593","62,198","45,842","37,586","33,192","30,105","24,879","28,954","22,675","30,279","26,644","27,757","27,640","28,004","27,233","30,620","26,889","35,313","26,928","40,552","32,338","40,845","48,886","22,724","41,153","19,455","26,130","18,048","25,099","9,834","24,635","4,263","15,123",657,"5,409",0,16,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0216,잠실(송파구청),107,2,"15,494","6,935","55,591","45,946","140,557","102,253","200,470","219,549","147,951","194,094","103,636","129,686","102,271","136,614","112,977","131,176","130,344","141,169","133,172","137,950","154,023","150,648","173,873","168,632","220,881","196,426","292,771","273,985","203,219","211,635","196,326","129,145","184,981","113,682","149,539","110,235","48,786","65,513","5,648","17,104",1,47,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0217,잠실새내,28,0,"6,689","1,178","20,507","8,721","70,659","19,232","96,339","31,955","59,855","35,717","40,452","28,612","38,354","30,956","39,959","36,110","39,746","40,595","35,572","43,795","36,584","48,290","42,634","56,230","44,921","72,880","51,953","105,073","40,215","85,044","36,917","52,356","44,789","45,696","40,100","43,262","25,070","24,442","4,505","9,271",1,28,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0218,종합운동장,19,1,"2,431","1,335","7,891","12,186","21,632","31,165","31,704","46,330","22,673","27,825","16,383","20,720","16,048","18,531","17,999","28,439","20,198","43,486","18,639","24,813","23,911","30,392","38,149","47,489","54,591","68,285","30,761","95,452","21,425","40,215","34,897","17,186","89,447","16,378","48,983","16,326","4,771","9,608",640,"3,328",4,129,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0219,삼성(무역센터),144,1,"5,594","6,266","9,977","45,881","22,241","140,840","29,270","372,585","29,739","285,440","30,682","141,592","45,198","121,766","61,014","109,827","82,235","123,630","99,590","107,420","127,157","94,764","149,466","87,663","216,007","85,891","347,348","93,793","220,649","60,193","161,798","29,418","140,416","23,140","103,950","21,025","29,678","11,034","4,472","5,776",1,"2,394",0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0220,선릉,125,9,"6,654","6,588","13,566","43,589","26,503","118,717","42,332","321,238","41,256","235,595","43,139","102,074","56,465","71,853","65,790","65,073","78,244","74,968","84,906","67,424","105,973","58,490","144,643","56,203","172,751","64,677","312,459","70,316","163,933","50,056","103,096","29,367","103,370","25,924","89,658","23,805","34,870","14,505","5,573","6,940",0,133,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0221,역삼,61,4,"4,870","8,337","10,075","41,289","18,384","132,457","31,165","378,987","29,791","285,044","30,634","115,394","40,708","75,760","48,436","62,595","60,881","74,153","67,172","64,068","85,601","57,478","100,447","52,612","170,447","57,286","301,570","68,381","152,997","50,662","93,413","28,702","95,609","23,802","68,007","20,471","28,385","13,676","4,821","4,737",3,52,1,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0222,강남,314,6,"17,015","13,593","26,913","60,841","51,251","188,783","82,408","371,194","72,256","372,474","70,697","185,947","90,704","155,348","115,198","151,565","149,301","182,536","155,119","158,555","182,261","152,724","203,763","160,409","268,025","196,613","407,478","278,368","268,157","206,872","219,363","101,490","267,588","83,052","288,264","69,228","128,937","43,752","22,304","13,700",4,83,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0223,교대(법원.검찰청),22,2,"3,287","8,348","15,251","31,666","33,799","77,067","47,945","174,428","40,498","155,236","37,820","83,117","44,027","72,037","46,646","66,846","58,604","73,638","66,171","67,659","72,544","62,113","73,919","63,792","102,645","74,891","168,743","97,745","86,453","65,138","67,265","37,468","78,492","33,722","72,166","32,280","26,839","18,167","5,529","5,886",0,29,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0224,서초,11,1,"1,523","5,721","8,382","23,011","17,457","57,397","27,810","139,043","29,484","112,384","23,707","51,633","33,185","39,529","32,617","29,793","41,525","33,092","41,095","32,856","45,491","26,717","55,096","27,551","72,962","28,947","121,596","35,220","55,983","25,758","35,380","14,023","41,800","12,724","29,042","12,454","9,942","7,661","1,380","2,258",0,6,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0225,방배,11,0,"3,675","3,667","11,888","14,901","31,128","33,536","43,334","90,047","34,597","70,840","25,278","47,471","26,594","33,850","29,743","34,706","33,020","33,963","33,594","33,327","42,722","30,294","50,112","33,479","61,213","39,920","89,923","50,334","43,202","39,027","31,860","25,415","32,752","24,301","27,995","26,986","12,017","15,523","2,727","5,474",1,6,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0226,사당,84,2,"16,006","4,446","30,459","38,588","87,938","62,510","121,696","89,455","88,855","69,839","59,900","54,388","53,572","61,988","62,916","60,644","69,843","62,900","71,576","61,630","68,036","73,083","73,897","92,402","90,614","125,629","115,318","190,198","84,872","150,081","76,730","89,681","85,680","85,618","84,141","87,416","50,264","55,892","9,349","17,671",14,"1,366",0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0227,낙성대,110,0,"12,954","2,666","31,186","12,645","97,129","25,837","147,919","53,157","94,338","46,288","51,492","37,634","43,379","28,774","46,973","33,586","49,913","36,347","41,515","36,870","45,484","41,500","49,796","49,220","54,425","64,554","66,204","105,807","40,640","100,822","30,595","67,006","29,662","65,532","25,240","70,801","14,026","48,087","2,448","14,465",2,330,0,1,0,0,2019-06-03 10:56:25
2019-05,2호선,0228,서울대입구(관악구청),"4,302",28,"33,591","3,531","52,785","20,362","151,643","39,918","212,019","86,798","143,674","89,643","85,616","72,396","74,994","59,179","81,319","64,433","87,975","73,886","79,229","71,757","85,093","78,966","93,936","91,273","110,150","119,273","121,634","184,534","78,841","175,298","66,050","110,464","66,306","107,930","62,005","111,868","34,899","75,207","5,985","26,759",2,"6,139",0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0229,봉천,123,0,"18,584","2,352","33,361","11,629","90,796","16,933","132,730","31,090","82,724","26,764","46,436","23,408","37,914","24,621","40,672","26,090","41,010","29,375","34,214","32,375","33,617","39,997","37,582","45,824","38,995","58,014","40,598","88,777","26,177","80,486","20,841","51,442","19,223","51,207","14,657","52,128","6,628","32,441","1,147","10,003",0,375,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0230,신림,447,10,"48,028","5,973","91,022","26,260","253,998","43,512","366,147","74,124","227,163","64,533","124,918","59,410","104,736","62,430","108,859","68,364","107,283","79,629","94,155","87,434","90,934","103,702","99,724","122,790","108,646","166,587","117,012","275,782","82,692","276,070","70,218","174,473","65,014","171,213","60,808","175,893","34,555","117,456","6,311","40,462",2,360,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0231,신대방,171,4,"30,396","2,950","42,553","12,206","109,082","22,616","151,021","41,154","99,474","28,566","56,947","24,177","46,098","24,269","45,418","26,533","44,148","31,956","37,734","34,898","35,507","46,452","39,401","53,244","42,860","71,246","53,611","103,220","32,874","95,593","24,255","65,793","19,602","71,251","15,184","77,633","7,643","45,595","1,443","14,737",1,62,0,0,0,0,2019-06-03 10:56:25
2019-05,2호선,0232,구로디지털단지,207,6,"49,570","6,978","62,277","24,683","164,171","82,785","214,075","283,080","145,731","172,498","90,256","70,428","78,479","58,266","81,818","59,418","84,946","74,031","75,793","77,965","77,290","82,084","91,690","93,951","132,481","131,124","257,279","189,336","139,014","165,324","87,613","109,751","75,984","113,059","60,717","116,345","30,936","73,044","5,071","21,823",3,35,0,0,0,0,2019-06-03 10:56:25
